epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1059.14,0.93506,0.67222,1.16806,0.88555,0.86508,0.91857,0.68654,0.92675,0.62697,1.19043,0.00076325,0.00076325,0.00076325
61,1076.42,0.94524,0.67352,1.16477,0.8994,0.81828,0.91,0.6774,0.92879,0.66131,1.18798,0.000755,0.000755,0.000755
62,1093.69,0.92279,0.671,1.15674,0.85437,0.83858,0.90544,0.68446,0.92027,0.67315,1.17663,0.00074675,0.00074675,0.00074675
63,1111.05,0.94217,0.67894,1.1619,0.88152,0.87637,0.92428,0.69147,0.89871,0.62978,1.17654,0.0007385,0.0007385,0.0007385
64,1128.54,0.91553,0.65735,1.15017,0.87185,0.86705,0.91621,0.68379,0.91924,0.63923,1.17948,0.00073025,0.00073025,0.00073025
65,1145.72,0.92108,0.65489,1.16699,0.90315,0.83398,0.91404,0.68684,0.91805,0.64766,1.1804,0.000722,0.000722,0.000722
66,1162.99,0.92989,0.64465,1.16319,0.89719,0.84076,0.91865,0.69753,0.90343,0.61584,1.16583,0.00071375,0.00071375,0.00071375
67,1180.28,0.91404,0.6456,1.15444,0.89978,0.86313,0.92193,0.69278,0.92332,0.60672,1.18406,0.0007055,0.0007055,0.0007055
68,1197.46,0.91668,0.63909,1.15098,0.8893,0.87039,0.92506,0.69042,0.91873,0.63426,1.18932,0.00069725,0.00069725,0.00069725
69,1214.82,0.91023,0.63505,1.14719,0.86688,0.84013,0.9053,0.67787,0.9197,0.65124,1.18269,0.000689,0.000689,0.000689
70,1232.08,0.9061,0.63681,1.14464,0.9009,0.87497,0.93507,0.7029,0.90196,0.58258,1.16614,0.00068075,0.00068075,0.00068075
71,1249.33,0.91379,0.64199,1.14937,0.87549,0.85738,0.91807,0.69267,0.89584,0.60999,1.16063,0.0006725,0.0006725,0.0006725
72,1266.7,0.8984,0.62446,1.14387,0.88846,0.88185,0.93421,0.70359,0.8921,0.60087,1.16505,0.00066425,0.00066425,0.00066425
73,1284.07,0.89393,0.62397,1.13169,0.89275,0.86997,0.923,0.70003,0.88579,0.59031,1.15533,0.000656,0.000656,0.000656
74,1301.39,0.90616,0.61922,1.12475,0.89404,0.86918,0.92046,0.69771,0.89368,0.60413,1.15977,0.00064775,0.00064775,0.00064775
75,1318.66,0.91559,0.63252,1.14798,0.89599,0.85443,0.91816,0.69159,0.90291,0.60786,1.17283,0.0006395,0.0006395,0.0006395
76,1336,0.88752,0.60665,1.13679,0.87734,0.8692,0.92317,0.69199,0.90845,0.60262,1.18216,0.00063125,0.00063125,0.00063125
77,1353.28,0.8805,0.60519,1.12925,0.9114,0.85315,0.9237,0.6961,0.88613,0.59652,1.16139,0.000623,0.000623,0.000623
78,1370.57,0.90242,0.61918,1.13507,0.89313,0.86001,0.92402,0.69498,0.90203,0.61577,1.17626,0.00061475,0.00061475,0.00061475
79,1387.71,0.86842,0.59488,1.1233,0.9007,0.8641,0.92008,0.69248,0.90895,0.59596,1.17259,0.0006065,0.0006065,0.0006065
80,1404.91,0.87594,0.58045,1.11786,0.88916,0.85804,0.91443,0.68708,0.88951,0.60391,1.16639,0.00059825,0.00059825,0.00059825
81,1422.19,0.87411,0.58949,1.1284,0.90518,0.86724,0.9327,0.70279,0.8936,0.56906,1.16545,0.00059,0.00059,0.00059
82,1439.46,0.88985,0.58806,1.12575,0.91048,0.86629,0.9351,0.70383,0.90018,0.58154,1.16784,0.00058175,0.00058175,0.00058175
83,1456.75,0.87159,0.60192,1.11605,0.87025,0.85962,0.92159,0.69713,0.88351,0.6314,1.16228,0.0005735,0.0005735,0.0005735
84,1473.96,0.86612,0.58965,1.11455,0.90421,0.86633,0.93102,0.70256,0.89744,0.57609,1.15819,0.00056525,0.00056525,0.00056525
85,1491.08,0.87523,0.5836,1.12108,0.87537,0.87508,0.92668,0.70134,0.89495,0.59122,1.1815,0.000557,0.000557,0.000557
86,1508.42,0.86756,0.59358,1.10767,0.88276,0.87517,0.92769,0.70388,0.88099,0.57308,1.17512,0.00054875,0.00054875,0.00054875
87,1525.65,0.87018,0.58054,1.1066,0.89445,0.88165,0.92341,0.70045,0.88125,0.56252,1.16648,0.0005405,0.0005405,0.0005405
88,1542.91,0.85273,0.56994,1.10148,0.90357,0.87598,0.92815,0.7055,0.87521,0.57067,1.16197,0.00053225,0.00053225,0.00053225
89,1560.18,0.85741,0.56228,1.1027,0.90477,0.87591,0.93045,0.70252,0.87988,0.57178,1.16485,0.000524,0.000524,0.000524
90,1577.43,0.87254,0.57208,1.11691,0.92322,0.86895,0.92788,0.7081,0.87433,0.55871,1.15336,0.00051575,0.00051575,0.00051575
91,1594.67,0.86903,0.57816,1.11651,0.90446,0.86489,0.91867,0.7007,0.87728,0.56415,1.16211,0.0005075,0.0005075,0.0005075
92,1611.9,0.84955,0.56351,1.10437,0.89421,0.8614,0.92682,0.70263,0.88538,0.58357,1.15143,0.00049925,0.00049925,0.00049925
93,1629.06,0.83637,0.55146,1.10245,0.90703,0.85914,0.92545,0.70066,0.87796,0.58153,1.15887,0.000491,0.000491,0.000491
94,1646.25,0.84843,0.56367,1.11201,0.92147,0.85933,0.92715,0.70574,0.88045,0.56228,1.16044,0.00048275,0.00048275,0.00048275
95,1663.62,0.85334,0.55926,1.10821,0.92534,0.8721,0.93244,0.705,0.88025,0.55585,1.16053,0.0004745,0.0004745,0.0004745
96,1680.93,0.84535,0.55411,1.09358,0.92087,0.86788,0.92848,0.70926,0.86497,0.55625,1.15298,0.00046625,0.00046625,0.00046625
97,1698.04,0.82594,0.54827,1.09051,0.89975,0.87819,0.92437,0.70688,0.88236,0.55275,1.16091,0.000458,0.000458,0.000458
98,1715.4,0.82427,0.5392,1.09306,0.89827,0.87573,0.92791,0.70786,0.87091,0.55064,1.16161,0.00044975,0.00044975,0.00044975
99,1732.6,0.84675,0.55472,1.0905,0.90304,0.87846,0.9274,0.70566,0.87554,0.54788,1.15558,0.0004415,0.0004415,0.0004415
100,1749.9,0.82874,0.53315,1.09061,0.90363,0.88735,0.93265,0.70727,0.87647,0.55275,1.15551,0.00043325,0.00043325,0.00043325
101,1767.03,0.81803,0.53294,1.08042,0.9208,0.87482,0.93136,0.70866,0.87189,0.54935,1.15843,0.000425,0.000425,0.000425
102,1784.27,0.82677,0.55,1.08973,0.90171,0.88972,0.92928,0.70491,0.87588,0.55405,1.15901,0.00041675,0.00041675,0.00041675
103,1801.51,0.82157,0.53827,1.08689,0.90817,0.87313,0.93153,0.71219,0.87101,0.53415,1.15786,0.0004085,0.0004085,0.0004085
104,1818.75,0.80965,0.52035,1.07849,0.92127,0.86822,0.9286,0.70747,0.87411,0.54099,1.15463,0.00040025,0.00040025,0.00040025
105,1835.94,0.81973,0.52545,1.07766,0.92788,0.8719,0.93634,0.70885,0.88906,0.532,1.16788,0.000392,0.000392,0.000392
106,1853.08,0.80037,0.5208,1.06928,0.90703,0.88246,0.93444,0.71014,0.88026,0.53772,1.15709,0.00038375,0.00038375,0.00038375
107,1870.27,0.81759,0.51547,1.08402,0.91623,0.87056,0.92945,0.70867,0.87261,0.54309,1.15352,0.0003755,0.0003755,0.0003755
108,1887.53,0.80411,0.51769,1.07889,0.91011,0.88354,0.93251,0.71217,0.87699,0.53683,1.15456,0.00036725,0.00036725,0.00036725
109,1904.84,0.82163,0.5169,1.08007,0.9244,0.87046,0.92814,0.70964,0.8753,0.53564,1.1621,0.000359,0.000359,0.000359
110,1922.03,0.78981,0.51562,1.06612,0.93485,0.86204,0.93441,0.71135,0.8689,0.5295,1.1561,0.00035075,0.00035075,0.00035075
111,1939.18,0.81408,0.51639,1.07886,0.92448,0.87452,0.93156,0.71009,0.87067,0.52972,1.16114,0.0003425,0.0003425,0.0003425
112,1956.35,0.77974,0.50242,1.06173,0.92193,0.88201,0.9341,0.71497,0.86442,0.52649,1.15292,0.00033425,0.00033425,0.00033425
113,1973.64,0.79362,0.50737,1.06364,0.90445,0.87355,0.92505,0.70865,0.87113,0.53515,1.15856,0.000326,0.000326,0.000326
114,1990.78,0.79264,0.50458,1.06349,0.91158,0.89098,0.93159,0.71013,0.87566,0.5366,1.16564,0.00031775,0.00031775,0.00031775
115,2007.99,0.78527,0.49269,1.06328,0.92763,0.86474,0.93391,0.71121,0.86764,0.53259,1.15379,0.0003095,0.0003095,0.0003095
116,2025.32,0.80293,0.50792,1.06825,0.91809,0.86586,0.92644,0.70613,0.87713,0.53965,1.17304,0.00030125,0.00030125,0.00030125
117,2042.55,0.80506,0.50726,1.07719,0.91282,0.88191,0.93095,0.7119,0.87645,0.52911,1.16654,0.000293,0.000293,0.000293
118,2059.79,0.78889,0.49655,1.06069,0.90211,0.88658,0.9301,0.70964,0.87546,0.52636,1.1623,0.00028475,0.00028475,0.00028475
119,2076.92,0.77627,0.48749,1.05562,0.91635,0.87816,0.93253,0.7114,0.86652,0.53745,1.16381,0.0002765,0.0002765,0.0002765
